,delay,day,duration
0,240,1,17100
1,60,1,18120
2,120,1,19080
3,120,1,19560
4,120,1,20220
5,60,1,28740
6,60,1,34620
7,60,1,35340
8,120,1,36060
9,1020,1,50340
10,1200,1,51480
11,1260,1,51960
12,1140,1,52620
13,1080,1,53340
14,1080,1,54060
15,120,1,53940
16,240,1,57540
17,120,1,58680
18,60,1,59160
19,120,2,32880
20,120,2,33360
21,60,2,38940
22,360,2,64260
23,60,3,45540
24,60,3,46260
25,480,3,53460
26,60,3,60540
27,300,3,65280
28,300,3,65760
29,300,3,66420
30,300,3,67140
31,300,3,67860
32,60,3,73620
33,60,3,79680
34,60,3,80160
35,60,3,83760
36,240,3,3780
37,60,4,2880
38,120,4,3600
39,60,4,28860
40,60,4,35160
41,120,4,40920
42,120,4,41580
43,180,4,46260
44,60,4,47460
45,60,4,47940
46,60,4,53820
47,120,4,53520
48,120,4,54720
49,120,4,55200
50,60,4,55800
51,60,4,56460
52,60,4,57180
53,60,4,64140
54,60,4,68040
55,180,4,75060
56,120,4,76320
57,60,4,76800
58,60,4,79020
59,60,4,81060
60,180,4,85440
61,60,5,72600
62,60,5,73320
63,60,5,75240
64,120,5,35700
65,120,5,35760
66,60,5,37080
67,60,5,45060
68,60,5,45720
69,60,5,46440
70,60,5,46200
71,60,5,47400
72,180,5,53520
73,60,5,67260
74,120,5,67980
75,120,5,75000
76,780,5,63960
77,480,6,70740
78,420,6,71280
79,360,6,71940
80,300,6,72600
81,360,6,73320
82,120,6,74520
83,180,6,75240
84,240,6,27600
85,300,6,28320
86,60,6,30240
87,120,6,35760
88,240,6,37080
89,180,6,46200
90,60,6,49800
91,180,6,54660
92,120,6,55140
93,120,6,55740
94,120,6,56400
95,180,6,57120
96,60,6,60780
97,60,6,62700
98,120,6,63360
99,120,6,64080
100,60,6,78300
101,240,7,600
102,180,7,1140
103,240,7,1800
104,60,7,42240
105,60,7,42960
106,60,7,56880
107,60,7,70140
108,60,7,75000
109,120,7,78960
110,660,7,63960
111,60,8,25800
112,120,8,26280
113,360,8,26940
114,300,8,27600
115,300,8,28320
116,120,8,29760
117,60,8,28200
118,60,8,31200
119,60,8,31920
120,240,8,31800
121,360,8,33000
122,420,8,33480
123,300,8,34140
124,300,8,34800
125,240,8,35520
126,300,8,36960
127,60,8,40560
128,120,8,52140
129,120,8,52800
130,120,8,53520
131,420,8,72600
132,360,8,73080
133,300,8,73740
134,180,8,74400
135,180,8,75120
136,120,8,74220
137,180,8,74700
138,180,8,75360
139,180,8,76560
140,60,8,76200
141,60,8,76680
142,120,8,77340
143,180,8,78000
144,240,8,78720
145,240,9,43920
146,180,9,44400
147,60,9,45060
148,60,9,63060
149,120,9,66000
150,120,9,66660
151,120,9,67380
152,240,9,68100
153,840,9,69600
154,780,9,70260
155,660,9,70980
156,660,9,71700
157,120,9,83520
158,120,9,84000
159,60,9,84720
160,600,10,71760
161,600,10,72900
162,600,10,73440
163,420,10,74160
164,360,10,74820
165,360,10,75540
166,420,10,900
167,360,10,1440
168,300,10,2100
169,60,10,46020
170,120,10,46500
171,120,10,53760
172,180,10,57300
173,60,10,70440
174,60,10,71880
175,240,10,77700
176,180,10,78360
177,120,10,79080
178,60,10,82800
179,180,11,41820
180,60,11,42540
181,60,11,46500
182,240,11,50100
183,360,11,51300
184,360,11,51780
185,240,11,52440
186,180,11,53100
187,120,11,53820
188,180,11,56040
189,120,11,56700
190,120,11,57420
191,60,11,59640
192,120,11,60360
193,180,11,61080
194,240,11,70440
195,180,11,71160
196,180,11,71880
197,60,11,75300
198,60,11,82800
199,60,12,1440
200,180,12,85140
201,240,12,85680
202,240,12,660
203,240,12,1380
204,1740,12,28560
205,120,12,29760
206,720,12,30480
207,420,12,32460
208,540,12,35940
209,60,12,41760
210,60,12,42480
211,60,12,43200
212,120,12,46440
213,300,12,50040
214,60,12,51240
215,240,12,51720
216,180,12,52380
217,180,12,53040
218,120,12,53760
219,60,12,61020
220,60,12,70380
221,60,12,82020
222,60,12,82740
223,60,12,84240
224,60,13,29040
225,60,13,29760
226,60,13,30480
227,60,13,35280
228,60,13,35940
229,120,13,41760
230,60,13,42480
231,180,13,45300
232,120,13,45960
233,120,13,46680
234,60,13,48780
235,180,13,49440
236,120,13,50160
237,360,13,58920
238,240,13,59580
239,120,13,60300
240,120,13,61020
241,60,13,64320
242,60,13,69720
243,360,13,70380
244,300,13,71100
245,300,13,71820
246,120,13,75240
247,60,13,77640
248,60,13,78300
249,120,13,79020
250,60,13,82740
251,120,14,840
252,60,14,1380
253,60,14,2040
254,240,14,30480
255,480,14,32460
256,60,14,35940
257,360,14,41760
258,240,14,42480
259,240,14,43200
260,180,14,50040
261,180,14,55980
262,180,14,56640
263,120,14,57360
264,60,14,62340
265,60,14,62940
266,60,14,63600
267,120,14,64320
268,60,14,70380
269,60,14,71100
270,60,14,71820
271,240,14,75240
272,60,14,82020
273,60,14,82740
274,60,15,27660
275,60,15,28140
276,480,15,32040
277,660,15,33240
278,660,15,33720
279,540,15,34380
280,540,15,35040
281,480,15,35760
282,300,15,40800
283,120,15,41640
284,120,15,42300
285,120,15,43020
286,60,15,46560
287,120,15,57600
288,120,15,58800
289,1500,15,60840
290,1560,15,62040
291,1560,15,62520
292,1500,15,63180
293,1560,15,63840
294,1560,15,64560
295,360,15,63660
296,360,15,64140
297,240,15,64800
298,420,15,66000
299,480,15,64440
300,300,15,65640
301,300,15,66120
302,240,15,66780
303,180,15,67440
304,180,15,68160
305,120,15,69720
306,60,15,70380
307,60,15,71040
308,60,15,71760
309,120,15,72840
310,60,15,73320
311,60,15,86040
312,60,17,36000
313,180,17,58560
314,180,17,58980
315,120,17,59640
316,60,17,60360
317,420,17,70440
318,360,17,71160
319,360,17,71880
320,300,17,75300
321,60,17,83820
322,60,17,84300
323,180,17,84960
324,120,17,85680
325,60,18,28620
326,60,18,29820
327,60,18,30540
328,60,18,56040
329,60,18,56700
330,60,18,57420
331,240,18,70440
332,180,18,71160
333,180,18,71880
334,180,18,74820
335,300,18,75300
336,660,18,76560
337,660,18,77040
338,540,18,77700
339,480,18,78360
340,540,18,79080
341,60,19,71760
342,60,19,27900
343,60,19,28620
344,180,19,27900
345,120,19,28440
346,120,19,29100
347,180,19,43260
348,60,19,45360
349,60,19,46020
350,60,19,46740
351,5580,19,49500
352,6300,19,50220
353,60,19,50100
354,120,19,51300
355,120,19,51780
356,960,19,52440
357,2880,19,53100
358,3000,19,53820
359,540,19,56700
360,600,19,57420
361,120,19,70440
362,180,19,71160
363,180,19,71880
364,180,19,74820
365,300,19,75300
366,60,19,76560
367,60,19,77040
368,60,19,77700
369,60,19,78360
370,120,19,79080
371,60,19,78900
372,300,20,27240
373,300,20,27900
374,300,20,28620
375,120,20,39540
376,240,20,40680
377,180,20,41160
378,120,20,41820
379,120,20,48840
380,120,20,49500
381,120,20,50220
382,60,20,61800
383,60,20,68280
384,180,20,70440
385,120,20,71160
386,120,20,71880
387,60,20,80580
388,60,21,35340
389,60,21,36000
390,180,21,46740
391,60,21,46500
392,60,21,48840
393,60,21,49500
394,60,21,50220
395,60,21,75300
396,60,21,85680
397,180,24,3120
398,120,24,3840
399,60,24,27900
400,60,24,28620
401,120,24,27900
402,180,24,28440
403,120,24,29100
404,60,24,29820
405,60,24,30540
406,60,24,46500
407,240,24,75300
408,240,24,79080
409,60,25,28440
410,60,25,46740
411,60,25,50100
412,60,25,63660
413,60,25,64380
414,60,25,71160
415,60,25,71880
416,60,25,74820
417,120,25,75300
418,60,26,71760
419,60,26,72900
420,60,26,27900
421,120,26,45360
422,60,26,46020
423,60,26,53820
424,60,26,57300
425,60,26,74820
426,180,26,75300
427,60,26,80580
428,60,27,74820
429,60,27,75540
430,240,27,900
431,360,27,1440
432,240,27,2100
433,60,27,28620
434,240,27,41820
435,120,27,42540
436,60,27,43260
437,60,27,50100
438,180,27,64380
439,120,27,84300
440,60,27,84960
441,240,28,24660
442,120,28,25260
443,60,28,26040
444,360,28,28620
445,120,28,29880
446,120,28,30360
447,60,28,39600
448,60,28,50100
449,60,28,63660
450,60,28,64380
451,120,31,74820
452,120,31,75540
453,120,31,1440
454,120,31,2100
455,600,31,36000
456,420,31,41820
457,300,31,42540
458,300,31,43260
459,60,31,47700
460,2580,31,48180
461,2520,31,48840
462,2820,31,49500
463,2880,31,50220
464,60,31,64380
465,60,31,69780
466,180,31,70440
467,180,31,71160
468,180,31,71880
469,60,31,75300
470,360,32,1620
471,180,32,2340
472,120,32,3000
473,60,32,3720
474,120,32,25500
475,60,32,26220
476,60,32,26880
477,60,32,27600
478,60,32,37860
479,180,32,38580
480,60,32,45000
481,60,32,45720
482,60,32,65760
483,60,32,68760
484,1140,32,69420
485,1140,32,70140
486,1140,32,70860
487,240,32,73800
488,240,32,74280
489,60,32,78060
490,120,32,77880
491,120,33,71460
492,180,33,600
493,180,33,1140
494,120,33,1800
495,240,33,2820
496,180,33,3540
497,120,33,49800
498,60,33,53520
499,180,33,63360
500,180,33,64080
501,180,33,70140
502,180,33,70860
503,120,33,71580
504,120,33,75000
505,60,33,78600
506,60,34,27600
507,60,34,28320
508,240,34,41520
509,180,34,42240
510,180,34,42960
511,120,34,45060
512,180,34,45720
513,180,34,46440
514,60,34,48540
515,60,34,49200
516,60,34,49920
517,60,34,70140
518,60,34,75000
519,2100,35,72600
520,2040,35,73140
521,2100,35,73860
522,2040,35,74520
523,2040,35,75240
524,60,35,39300
525,360,35,43800
526,360,35,44340
527,300,35,45060
528,300,35,45720
529,300,35,46440
530,60,35,52800
531,120,35,53520
532,900,35,53460
533,960,35,54660
534,960,35,55140
535,960,35,55740
536,900,35,56400
537,900,35,57120
538,60,35,57000
539,180,35,70140
540,120,35,70860
541,120,35,71580
542,180,35,74520
543,240,35,75000
544,60,35,76740
545,1620,35,78600
546,1740,35,79800
547,1680,35,80280
548,1920,35,81000
549,1740,35,81780
550,1560,35,82620
551,120,36,36960
552,120,36,64560
553,120,36,65760
554,60,36,64200
555,60,36,75360
556,60,36,78720
557,60,36,900
558,180,38,900
559,120,38,1440
560,60,38,2100
561,60,38,31080
562,240,38,37380
563,60,38,39600
564,120,38,38520
565,180,38,38940
566,60,38,40860
567,180,38,41820
568,240,38,42540
569,180,38,43260
570,60,38,43320
571,60,38,49500
572,60,38,50220
573,360,38,51300
574,300,38,51780
575,240,38,52440
576,180,38,53100
577,600,38,53820
578,840,38,54960
579,780,38,55440
580,720,38,56040
581,660,38,56700
582,720,38,57420
583,60,38,56520
584,120,38,63660
585,120,38,64380
586,120,38,67560
587,120,38,68280
588,120,38,75300
589,60,39,900
590,60,39,1440
591,60,39,27900
592,120,39,31260
593,60,39,31800
594,300,39,32460
595,180,39,33780
596,1740,39,36000
597,60,39,36060
598,960,39,37380
599,60,39,50520
600,60,39,64380
601,60,39,68280
602,120,39,67080
603,180,39,67560
604,240,39,68220
605,180,39,68940
606,120,39,69720
607,180,39,70440
608,120,39,71160
609,60,39,71880
610,420,40,71040
611,420,40,71580
612,420,40,72240
613,480,40,72900
614,540,40,73620
615,60,40,1440
616,120,40,2100
617,60,40,3840
618,420,40,27900
619,360,40,28620
620,120,40,32220
621,120,40,34980
622,180,40,35400
623,120,40,36060
624,60,40,37380
625,1440,40,39660
626,1620,40,40860
627,300,40,41820
628,180,40,42540
629,180,40,43260
630,60,40,44520
631,60,40,42900
632,360,40,45360
633,300,40,46020
634,300,40,46740
